Year,Unknown species,"P. malariae, P. knowelsi, mixed species",P. vivax/P. ovale,P. falciparum,Percent* P.vivax/P.ovale,"Percent* P. falciparum ",Total speciated,Total
2014,202,62,320,1141,21,74.9,1523,1725
2015,196,60,243,1025,18.3,77.2,1328,1524
2016,225,84,350,1419,18.9,76.6,1853,2078
2017,226,77,335,1523,17.3,78.7,1935,2161
2018,216,66,268,1273,16.7,79.2,1607,1823
2019,254,67,194,1533,10.8,85.5,1794,2048
2020,98,23,92,389,18.3,77.2,504,602
2021,281,38,106,1125,8.4,88.7,1269,1550
2022,371,49,203,1376,12.4,84.6,1628,1999
