FullGeoName,Year,Location,Total human disease cases,Neuroinvasive disease cases,**Presumptive viremic blood donors
,2024,"SD, Kingsbury",2,0,0
,2024,"SD, Lawrence",1,0,0
,2024,"SD, Lincoln",0,0,0
,2024,"SD, Meade",0,0,0
,2024,"SD, Minnehaha",0,0,0
,2024,"SD, Pennington",1,1,1
,2024,"SD, Potter",1,1,0
,2024,"SD, Roberts",1,0,0
,2024,"SD, Sanborn",0,0,1
,2024,"SD, Walworth",3,1,0
,2024,"SD, Ziebach",1,0,0
,2024,"TN, Crockett",1,1,0
,2024,"TN, Davidson",0,0,0
,2024,"TN, Fayette",1,0,0
,2024,"TN, Hickman",0,0,0
,2024,"TN, Knox",1,1,0
,2024,"TN, Morgan",0,0,0
,2024,"TN, Sevier",0,0,0
,2024,"TN, Shelby",5,5,0
,2024,"TN, Trousdale",1,1,0
,2024,"TX, Angelina",1,1,0
,2024,"TX, Archer",1,1,0
,2024,"TX, Armstrong",0,0,0
,2024,"TX, Bell",5,5,0
,2024,"TX, Bexar",12,10,5
,2024,"TX, Bowie",1,1,0
,2024,"TX, Brazoria",2,2,3
,2024,"TX, Brazos",2,2,0
,2024,"TX, Briscoe",0,0,0
,2024,"TX, Brooks",0,0,0
,2024,"TX, Burleson",0,0,0
,2024,"TX, Burnet",1,1,0
,2024,"TX, Caldwell",1,1,0
,2024,"TX, Cameron",4,3,0
,2024,"TX, Cherokee",1,1,0
,2024,"TX, Clay",1,1,0
,2024,"TX, Collin",10,10,5
,2024,"TX, Comal",0,0,1
,2024,"TX, Cooke",3,1,0
,2024,"TX, Crosby",1,1,0
,2024,"TX, Dallam",0,0,1
,2024,"TX, Dallas",35,26,6
,2024,"TX, Denton",24,18,4
,2024,"TX, Eastland",0,0,0
,2024,"TX, Ector",2,1,1
,2024,"TX, Ellis",3,3,2
,2024,"TX, El Paso",1,0,0
,2024,"TX, Erath",1,1,0
,2024,"TX, Floyd",0,0,0
,2024,"TX, Fort Bend",6,6,0
,2024,"TX, Galveston",2,2,2
,2024,"TX, Garza",1,1,0
,2024,"TX, Gonzales",1,1,0
,2024,"TX, Grayson",5,4,0
,2024,"TX, Grimes",3,2,0
,2024,"TX, Guadalupe",0,0,1
,2024,"TX, Hale",0,0,0
,2024,"TX, Hardin",0,0,0
,2024,"TX, Harris",77,71,25
,2024,"TX, Harrison",1,1,0
,2024,"TX, Haskell",0,0,0
,2024,"TX, Hays",5,2,0
,2024,"TX, Henderson",1,1,0
,2024,"TX, Hidalgo",14,11,0
,2024,"TX, Hill",1,1,0
,2024,"TX, Hockley",2,2,0
,2024,"TX, Hood",5,5,1
,2024,"TX, Hopkins",0,0,0
,2024,"TX, Hunt",0,0,0
,2024,"TX, Hutchinson",1,1,0
,2024,"TX, Jefferson",0,0,1
,2024,"TX, Jim Hogg",1,1,0
,2024,"TX, Jim Wells",0,0,1
,2024,"TX, Johnson",6,6,2
,2024,"TX, Kaufman",7,5,1
,2024,"TX, Kerr",0,0,0
,2024,"TX, King",0,0,0
,2024,"TX, Kleberg",0,0,0
,2024,"TX, Lamar",1,1,0
,2024,"TX, Leon",0,0,0
,2024,"TX, Liberty",0,0,0
,2024,"TX, Lubbock",14,12,2
,2024,"TX, Lynn",0,0,1
,2024,"TX, Mclennan",9,8,2
,2024,"TX, Martin",1,0,0
,2024,"TX, Midland",3,2,1
,2024,"TX, Milam",1,1,0
,2024,"TX, Montague",1,0,0
,2024,"TX, Montgomery",25,20,15
,2024,"TX, Moore",0,0,1
,2024,"TX, Navarro",1,1,0
,2024,"TX, Nueces",2,2,1
,2024,"TX, Orange",0,0,2
,2024,"TX, Palo Pinto",1,1,0
,2024,"TX, Parker",5,3,0
,2024,"TX, Polk",1,1,0
,2024,"TX, Potter",1,0,0
,2024,"TX, Randall",4,4,1
,2024,"TX, Red River",0,0,0
,2024,"TX, Rockwall",0,0,0
,2024,"TX, Rusk",0,0,0
,2024,"TX, San Augustine",2,1,0
,2024,"TX, San Patricio",0,0,0
,2024,"TX, Smith",2,2,0
,2024,"TX, Stonewall",1,1,0
,2024,"TX, Tarrant",71,52,5
,2024,"TX, Taylor",1,1,0
,2024,"TX, Terry",1,1,0
,2024,"TX, Tom Green",1,1,0
,2024,"TX, Travis",33,18,4
,2024,"TX, Walker",2,1,0
,2024,"TX, Waller",0,0,0
,2024,"TX, Webb",0,0,0
,2024,"TX, Wichita",10,10,1
,2024,"TX, Wilbarger",1,1,0
,2024,"TX, Williamson",4,1,0
,2024,"TX, Wise",2,2,0
,2024,"TX, Young",3,1,0
,2024,"UT, Box Elder",3,2,0
,2024,"UT, Cache",2,2,0
,2024,"UT, Davis",3,3,1
,2024,"UT, Emery",1,1,0
,2024,"UT, Millard",0,0,0
,2024,"UT, Salt Lake",0,0,0
,2024,"UT, Tooele",0,0,0
,2024,"UT, Uintah",0,0,0
,2024,"UT, Utah",3,3,0
,2024,"UT, Weber",2,2,5
,2024,"VT, Addison",0,0,0
,2024,"VT, Bennington",0,0,0
,2024,"VT, Caledonia",0,0,0
,2024,"VT, Chittenden",1,1,0
,2024,"VT, Franklin",0,0,0
,2024,"VT, Grand Isle",0,0,0
,2024,"VT, Lamoille",0,0,0
,2024,"VT, Orange",0,0,0
,2024,"VT, Orleans",0,0,0
,2024,"VT, Washington",0,0,0
,2024,"VT, Windham",0,0,0
,2024,"VT, Windsor",0,0,0
,2024,"VA, Fairfax",1,0,1
,2024,"VA, Henrico",0,0,0
,2024,"VA, Prince William",0,0,0
,2024,"VA, Rockingham",1,0,1
,2024,"VA, Warren",1,1,0
,2024,"VA, York",0,0,0
,2024,"VA, Alexandria City",1,1,0
,2024,"VA, Chesapeake City",1,0,1
,2024,"VA, Fairfax City",0,0,0
,2024,"VA, Falls Church City",0,0,0
,2024,"VA, Harrisonburg City",1,0,1
,2024,"VA, Newport News City",1,1,0
,2024,"VA, Norfolk City",0,0,0
,2024,"VA, Richmond City",1,1,0
,2024,"VA, Roanoke City",1,1,2
,2024,"VA, Suffolk City",0,0,0
,2024,"VA, Virginia Beach City",0,0,0
,2024,"WA, King",1,1,0
,2024,"WA, Yakima",0,0,0
,2024,"WV, Berkeley",2,2,0
,2024,"WI, Brown",2,2,0
,2024,"WI, Calumet",2,1,0
,2024,"WI, Chippewa",0,0,0
,2024,"WI, Clark",0,0,0
,2024,"WI, Dane",6,3,4
,2024,"WI, Dodge",0,0,2
,2024,"WI, Douglas",1,1,0
,2024,"WI, Dunn",1,1,0
,2024,"WI, Eau Claire",1,1,0
,2024,"WI, Fond Du Lac",1,1,1
,2024,"WI, Green Lake",0,0,0
,2024,"WI, Iowa",0,0,0
,2024,"WI, Jefferson",2,1,1
,2024,"WI, Juneau",0,0,1
,2024,"WI, Kenosha",1,1,0
,2024,"WI, Manitowoc",1,1,0
,2024,"WI, Marquette",0,0,0
,2024,"WI, Milwaukee",3,3,1
,2024,"WI, Outagamie",2,2,0
,2024,"WI, Polk",0,0,0
,2024,"WI, Racine",1,0,3
,2024,"WI, Rock",1,1,0
,2024,"WI, Sauk",0,0,0
,2024,"WI, Sheboygan",1,1,0
,2024,"WI, Trempealeau",1,1,0
,2024,"WI, Walworth",0,0,0
,2024,"WI, Washington",2,2,1
,2024,"WI, Waukesha",1,1,0
,2024,"WI, Winnebago",1,1,0
,2024,"WI, Wood",1,1,0
,2024,"WY, Albany",0,0,0
,2024,"WY, Big Horn",0,0,0
,2024,"WY, Campbell",0,0,0
,2024,"WY, Carbon",0,0,0
,2024,"WY, Fremont",0,0,1
,2024,"WY, Goshen",1,0,2
,2024,"WY, Laramie",0,0,0
,2024,"WY, Natrona",1,1,0
,2024,"WY, Sheridan",0,0,0
,2024,"AL, Autauga",2,1,0
,2024,"AL, Baldwin",2,1,0
,2024,"AL, Chilton",1,1,0
,2024,"AL, Cullman",2,1,0
,2024,"AL, Dallas",1,1,0
,2024,"AL, Jackson",1,1,0
,2024,"AL, Jefferson",6,6,0
,2024,"AL, Lee",0,0,1
,2024,"AL, Limestone",1,1,0
,2024,"AL, Madison",4,4,0
,2024,"AL, Mobile",6,4,4
,2024,"AL, Montgomery",4,4,0
,2024,"AL, Morgan",1,0,0
,2024,"AL, Shelby",2,2,0
,2024,"AL, Walker",1,1,0
,2024,"AZ, Cochise",1,1,0
,2024,"AZ, Gila",3,2,0
,2024,"AZ, Maricopa",21,15,4
,2024,"AZ, Navajo",0,0,0
,2024,"AZ, Pima",4,2,1
,2024,"AZ, Pinal",4,3,0
,2024,"AZ, Yuma",0,0,0
,2024,"AR, Chicot",1,1,0
,2024,"AR, Columbia",0,0,1
,2024,"AR, Crawford",1,1,0
,2024,"AR, Drew",1,1,0
,2024,"AR, Faulkner",0,0,0
,2024,"AR, Franklin",0,0,0
,2024,"AR, Fulton",0,0,0
,2024,"AR, Johnson",1,1,0
,2024,"AR, Little River",0,0,0
,2024,"AR, Perry",1,1,0
,2024,"AR, Pulaski",2,2,0
,2024,"AR, Saline",1,1,0
,2024,"CA, Alameda",0,0,1
,2024,"CA, Butte",11,7,2
,2024,"CA, Calaveras",1,1,0
,2024,"CA, Colusa",1,1,0
,2024,"CA, Contra Costa",4,3,1
,2024,"CA, El Dorado",0,0,0
,2024,"CA, Fresno",17,13,3
,2024,"CA, Glenn",1,1,1
,2024,"CA, Imperial",0,0,0
,2024,"CA, Kern",12,9,0
,2024,"CA, Kings",6,5,1
,2024,"CA, Lake",0,0,0
,2024,"CA, Los Angeles",23,22,6
,2024,"CA, Madera",0,0,0
,2024,"CA, Merced",3,2,0
,2024,"CA, Nevada",0,0,0
,2024,"CA, Orange",1,1,0
,2024,"CA, Placer",0,0,0
,2024,"CA, Riverside",6,3,0
,2024,"CA, Sacramento",7,7,0
,2024,"CA, San Bernardino",5,5,2
,2024,"CA, San Diego",2,2,0
,2024,"CA, San Joaquin",2,1,0
,2024,"CA, San Mateo",0,0,1
,2024,"CA, Santa Clara",4,4,2
,2024,"CA, Shasta",1,0,0
,2024,"CA, Solano",0,0,0
,2024,"CA, Stanislaus",5,3,1
,2024,"CA, Sutter",1,0,0
,2024,"CA, Tehama",1,1,0
,2024,"CA, Tulare",4,4,0
,2024,"CA, Yolo",9,4,2
,2024,"CA, Yuba",4,4,0
,2024,"CO, Adams",5,3,1
,2024,"CO, Arapahoe",8,5,1
,2024,"CO, Boulder",9,3,1
,2024,"CO, Broomfield",5,3,0
,2024,"CO, Delta",4,0,0
,2024,"CO, Denver",6,5,2
,2024,"CO, Douglas",2,0,2
,2024,"CO, El Paso",6,5,0
,2024,"CO, Fremont",2,1,0
,2024,"CO, Jefferson",3,3,1
,2024,"CO, Kit Carson",1,0,0
,2024,"CO, La Plata",1,1,0
,2024,"CO, Larimer",5,0,0
,2024,"CO, Mesa",1,0,0
,2024,"CO, Montrose",1,1,0
,2024,"CO, Morgan",1,1,0
,2024,"CO, Pueblo",0,0,0
,2024,"CO, Sedgwick",1,0,0
,2024,"CO, Weld",15,8,0
,2024,"CT, Capitol",2,1,0
,2024,"CT, Greater Bridgeport",1,1,0
,2024,"CT, Lower Connecticut River Valley",1,1,0
,2024,"CT, Northeastern Connecticut",0,0,0
,2024,"CT, South Central Connecticut",4,3,0
,2024,"CT, Southeastern Connecticut",1,1,0
,2024,"CT, Western Connecticut",4,4,0
