City,Region,Country,AirQuality,WaterPollution
Manhattan,Kansas,United States of America,100.0,0.0
Yucca Valley,California,United States of America,87.5,50.0
Lake Charles,Louisiana,United States of America,66.66666667,60.0
Huntsville,Texas,United States of America,100.0,50.0
Moss Point,Mississippi,United States of America,91.66666667,50.0
Verona,Mississippi,United States of America,100.0,50.0
Olive Branch,Mississippi,United States of America,100.0,0.0
Harlingen,Texas,United States of America,100.0,0.0
Valparaiso,Indiana,United States of America,100.0,50.0
Jackson,Wyoming,United States of America,100.0,50.0
Loveland,Colorado,United States of America,72.5,35.0
Bloomfield Hills,Michigan,United States of America,0.0,100.0
Boone,North Carolina,United States of America,75.0,50.0
Bowling Green,Ohio,United States of America,100.0,16.66666667
Boynton Beach,Florida,United States of America,100.0,50.0
Brainerd,Minnesota,United States of America,100.0,50.0
Branson,Missouri,United States of America,100.0,0.0
Brattleboro,Vermont,United States of America,100.0,50.0
Breckenridge,Colorado,United States of America,100.0,25.0
Kokomo,Indiana,United States of America,90.0,25.0
Sandpoint,Idaho,United States of America,100.0,0.0
Wisconsin Dells,Wisconsin,United States of America,100.0,50.0
Albert Lea,Minnesota,United States of America,100.0,25.0
Corcoran,California,United States of America,50.0,50.0
Bridgeton,New Jersey,United States of America,100.0,50.0
Tustin,California,United States of America,75.0,37.5
Ocala,Florida,United States of America,77.5,32.5
Gillette,Wyoming,United States of America,100.0,50.0
San Angelo,Texas,United States of America,100.0,37.5
Pinehurst,Georgia,United States of America,100.0,0.0
Imperial,California,United States of America,87.5,50.0
Largo,Florida,United States of America,75.0,75.0
Muncie,Indiana,United States of America,87.5,50.0
Elmira,New York,United States of America,100.0,25.0
Laurel,Mississippi,United States of America,87.5,50.0
La Crosse,Wisconsin,United States of America,100.0,50.0
Franklin,Massachusetts,United States of America,87.5,12.5
Elizabethtown,Kentucky,United States of America,90.0,0.0
Selah,Washington,United States of America,75.0,25.0
Lake Elsinore,California,United States of America,50.0,75.0
Aliso Viejo,California,United States of America,100.0,75.0
Melbourne,Florida,United States of America,80.0,39.28571429
Muskegon,Michigan,United States of America,100.0,50.0
Safety Harbor,Florida,United States of America,100.0,75.0
Marshall,Missouri,United States of America,100.0,50.0
Rolla,Missouri,United States of America,100.0,25.0
Taos,Missouri,United States of America,100.0,75.0
Libby,Montana,United States of America,100.0,25.0
Crown Point,Indiana,United States of America,87.5,25.0
Wenatchee,Washington,United States of America,25.0,0.0
Liberty,Missouri,United States of America,62.5,50.0
Chesterfield,Missouri,United States of America,87.5,37.5
O'Fallon,Missouri,United States of America,0.0,100.0
Youngstown,New York,United States of America,75.0,58.33333333
Forsyth,Montana,United States of America,80.0,100.0
Rock Hill,South Carolina,United States of America,87.5,62.5
Morristown,New Jersey,United States of America,100.0,100.0
Leesburg,Georgia,United States of America,87.5,50.0
Oshkosh,Nebraska,United States of America,50.0,75.0
Brentwood,Missouri,United States of America,75.0,0.0
Cape Canaveral,Florida,United States of America,75.0,0.0
Clayton,Missouri,United States of America,87.5,50.0
Vero Beach,Florida,United States of America,93.75,62.5
Lawrenceville,Georgia,United States of America,100.0,0.0
Weatherford,Texas,United States of America,100.0,0.0
Del Rio,Texas,United States of America,100.0,25.0
Warrenton,Virginia,United States of America,100.0,0.0
Mansfield,Texas,United States of America,90.0,0.0
Jeffersonville,Indiana,United States of America,87.5,50.0
Lake Worth,Texas,United States of America,100.0,100.0
Katy,Texas,United States of America,60.0,50.0
McLean,Texas,United States of America,100.0,25.0
Leander,Texas,United States of America,100.0,0.0
San Marcos,Texas,United States of America,100.0,0.0
League City,Texas,United States of America,75.0,25.0
Pullman,Washington,United States of America,100.0,0.0
Mansfield,Ohio,United States of America,75.0,25.0
Fort Dodge,Iowa,United States of America,25.0,75.0
Lakeville,Minnesota,United States of America,100.0,50.0
Titusville,Florida,United States of America,100.0,25.0
Lakewood,Washington,United States of America,100.0,75.0
Longview,Washington,United States of America,0.0,75.0
Oxford,Mississippi,United States of America,100.0,0.0
Lima,Ohio,United States of America,75.0,50.0
Fort Walton Beach,Florida,United States of America,100.0,50.0
Paducah,Kentucky,United States of America,85.71428571,62.5
Coon Rapids,Minnesota,United States of America,100.0,50.0
Traverse City,Michigan,United States of America,75.0,25.0
Rocklin,California,United States of America,100.0,0.0
Sheboygan,Wisconsin,United States of America,100.0,0.0
Marina,California,United States of America,100.0,50.0
Sebring,Florida,United States of America,25.0,50.0
Alexandria,Louisiana,United States of America,100.0,50.0
Jackson,Tennessee,United States of America,96.875,12.5
Eden Prairie,Minnesota,United States of America,91.66666667,8.333333333
Clovis,New Mexico,United States of America,0.0,100.0
Fond du Lac,Wisconsin,United States of America,75.0,75.0
New Port Richey,Florida,United States of America,50.0,0.0
Jupiter,Florida,United States of America,100.0,25.0
Jacksonville,North Carolina,United States of America,100.0,0.0
Lebanon,Ohio,United States of America,100.0,50.0
Slidell,Louisiana,United States of America,50.0,100.0
Torrington,Wyoming,United States of America,90.0,75.0
Longmont,Colorado,United States of America,0.0,75.0
East Orange,New Jersey,United States of America,100.0,75.0
Foster City,California,United States of America,100.0,0.0
Statesboro,Georgia,United States of America,75.0,41.66666667
DeLand,Florida,United States of America,81.25,25.0
Grand Junction,Colorado,United States of America,85.41666667,18.75
North Platte,Nebraska,United States of America,100.0,25.0
Troy,Michigan,United States of America,62.5,25.0
Weston,Florida,United States of America,100.0,0.0
Mesquite,Nevada,United States of America,100.0,0.0
Novi,Michigan,United States of America,100.0,0.0
Brunswick,Georgia,United States of America,78.125,37.5
Long Branch,New Jersey,United States of America,75.0,25.0
Monroe,Michigan,United States of America,100.0,25.0
Dalton,Georgia,United States of America,100.0,25.0
Summit,New Jersey,United States of America,37.5,62.5
Hilton Head Island,South Carolina,United States of America,100.0,25.0
New Bern,North Carolina,United States of America,100.0,50.0
Alpharetta,Georgia,United States of America,62.5,37.5
Radcliff,Kentucky,United States of America,87.5,50.0
Cumming,Georgia,United States of America,58.33333333,41.66666667
Ironton,Ohio,United States of America,100.0,50.0
Midland,Michigan,United States of America,95.0,33.33333333
Valdosta,Georgia,United States of America,100.0,50.0
Hobbs,New Mexico,United States of America,100.0,50.0
Langley,Washington,United States of America,100.0,0.0
Durango,Colorado,United States of America,75.0,0.0
Farmington,New Mexico,United States of America,95.0,50.0
Williamsport,Pennsylvania,United States of America,100.0,0.0
Sheridan,Wyoming,United States of America,95.83333333,12.5
Rochester,Michigan,United States of America,100.0,0.0
Fairborn,Ohio,United States of America,87.5,50.0
Ypsilanti,Michigan,United States of America,75.0,66.66666667
Lisle,Illinois,United States of America,100.0,0.0
Pottsville,Pennsylvania,United States of America,75.0,0.0
Concord,North Carolina,United States of America,91.66666667,62.5
Watertown,South Dakota,United States of America,95.83333333,50.0
Moses Lake,Washington,United States of America,75.0,0.0
Johnstown,Pennsylvania,United States of America,87.5,75.0
Bloomsburg,Pennsylvania,United States of America,87.5,25.0
Hazard,Kentucky,United States of America,100.0,50.0
New Castle,Pennsylvania,United States of America,87.5,50.0
Anderson,South Carolina,United States of America,87.5,0.0
Warren,Pennsylvania,United States of America,100.0,50.0
Woodland,Washington,United States of America,100.0,0.0
Ashland,Massachusetts,United States of America,100.0,50.0
Rocky Mount,Virginia,United States of America,50.0,75.0
Herndon,Virginia,United States of America,50.0,25.0
Amherst,Virginia,United States of America,100.0,50.0
Christiansburg,Virginia,United States of America,75.0,100.0
Watertown,New York,United States of America,62.5,37.5
Spring Hill,Tennessee,United States of America,87.5,25.0
Airway Heights,Washington,United States of America,100.0,0.0
Yelm,Washington,United States of America,50.0,50.0
Sequim,Washington,United States of America,100.0,25.0
Brier,Washington,United States of America,100.0,0.0
Goose Creek,South Carolina,United States of America,100.0,0.0
Waterloo,Wisconsin,United States of America,100.0,50.0
Neenah,Wisconsin,United States of America,50.0,0.0
Hempstead,New York,United States of America,100.0,50.0
Smithtown,New York,United States of America,100.0,50.0
Plymouth,Michigan,United States of America,50.0,50.0
Islip,New York,United States of America,75.0,25.0
Woodburn,Oregon,United States of America,100.0,0.0
Ponca City,Oklahoma,United States of America,100.0,50.0
Portsmouth,Rhode Island,United States of America,100.0,0.0
Zeeland,Michigan,United States of America,100.0,0.0
Roanoke,Indiana,United States of America,95.45454545,35.71428571
Weirton,West Virginia,United States of America,62.5,50.0
Detroit Lakes,Minnesota,United States of America,100.0,50.0
Waterford,Connecticut,United States of America,25.0,50.0
Deltona,Florida,United States of America,87.5,75.0
Morehead,Kentucky,United States of America,100.0,25.0
Birmingham,Iowa,United States of America,71.05263158,31.66666667
Waldorf,Minnesota,United States of America,100.0,75.0
Leawood,Kansas,United States of America,50.0,75.0
Lakeport,California,United States of America,100.0,50.0
Jackson,California,United States of America,100.0,50.0
Upland,Indiana,United States of America,62.5,50.0
Elko,South Carolina,United States of America,100.0,25.0
Cutler Bay,Florida,United States of America,100.0,25.0
Greenville,North Carolina,United States of America,90.0,25.0
Vadnais Heights,Minnesota,United States of America,100.0,50.0
Hinesville,Georgia,United States of America,75.0,25.0
Abington,Massachusetts,United States of America,100.0,50.0
Williston,North Dakota,United States of America,85.0,75.0
Fairmont,West Virginia,United States of America,100.0,50.0
Warner Robins,Georgia,United States of America,100.0,37.5
Elkhart,Indiana,United States of America,87.5,50.0
Frankfort,Indiana,United States of America,50.0,75.0
La Porte,Indiana,United States of America,87.5,50.0
Sanford,North Carolina,United States of America,100.0,50.0
Spruce Pine,North Carolina,United States of America,100.0,0.0
Yanceyville,North Carolina,United States of America,87.5,50.0
Mooresville,North Carolina,United States of America,100.0,25.0
Hope Mills,North Carolina,United States of America,100.0,50.0
Hickory,North Carolina,United States of America,100.0,50.0
Bryson City,North Carolina,United States of America,87.5,50.0
Buffalo,North Dakota,United States of America,100.0,50.0
Beaver Dam,Kentucky,United States of America,100.0,50.0
Chesterfield,South Carolina,United States of America,100.0,25.0
Stone Mountain,Georgia,United States of America,0.0,100.0
Astoria,Illinois,United States of America,37.5,62.5
Ellsworth,Maine,United States of America,100.0,50.0
Swampscott,Massachusetts,United States of America,100.0,50.0
Seminole,Florida,United States of America,100.0,0.0
Zephyrhills,Florida,United States of America,25.0,50.0
California,Kentucky,United States of America,0.0,100.0
Gettysburg,South Dakota,United States of America,75.0,75.0
Beloit,Kansas,United States of America,50.0,62.5
Willoughby,Ohio,United States of America,75.0,0.0
Mansfield,Georgia,United States of America,0.0,50.0
Ithaca,Michigan,United States of America,93.75,40.625
Wayne,West Virginia,United States of America,87.5,50.0
Bourne,Massachusetts,United States of America,75.0,25.0
Longmeadow,Massachusetts,United States of America,75.0,25.0
Owosso,Michigan,United States of America,75.0,100.0
Amherst,New Hampshire,United States of America,100.0,50.0
Hampton,South Carolina,United States of America,37.5,50.0
Oakland,Tennessee,United States of America,100.0,0.0
Arlington,Kansas,United States of America,66.66666667,16.66666667
Lewisburg,Tennessee,United States of America,100.0,50.0
Clarksville,Indiana,United States of America,95.0,0.0
Ashburn,Georgia,United States of America,60.0,25.0
Franklin,West Virginia,United States of America,100.0,0.0
Decatur,Tennessee,United States of America,75.0,100.0
Bridgewater,Connecticut,United States of America,87.5,50.0
Cookeville,Tennessee,United States of America,100.0,50.0
Peachtree City,Georgia,United States of America,50.0,50.0
Syracuse,Indiana,United States of America,75.0,50.0
Mandeville,Louisiana,United States of America,75.0,75.0
Lynchburg,South Carolina,United States of America,100.0,0.0
Holderness,New Hampshire,United States of America,100.0,50.0
Long Island,Kansas,United States of America,87.5,25.0
Yreka,California,United States of America,100.0,50.0
Tyngsborough,Massachusetts,United States of America,100.0,50.0
Huntingdon,Tennessee,United States of America,75.0,50.0
Seaside,Oregon,United States of America,100.0,0.0
Pooler,Georgia,United States of America,75.0,25.0
Edison,Georgia,United States of America,75.0,25.0
Topsham,Maine,United States of America,100.0,50.0
Frederick,South Dakota,United States of America,91.66666667,33.33333333
Manistee,Michigan,United States of America,100.0,50.0
Allegan,Michigan,United States of America,100.0,0.0
Richland,Oregon,United States of America,100.0,0.0
Rumford,Maine,United States of America,100.0,50.0
Pikeville,Kentucky,United States of America,100.0,50.0
Douglasville,Georgia,United States of America,25.0,75.0
Chesapeake,West Virginia,United States of America,100.0,37.5
Brandon,Vermont,United States of America,100.0,0.0
Yorkville,Tennessee,United States of America,100.0,0.0
Fredericksburg,Indiana,United States of America,100.0,25.0
Utica,Indiana,United States of America,93.75,37.5
Manassas,Georgia,United States of America,87.5,0.0
Gadsden,Tennessee,United States of America,87.5,75.0
Rutherford,Tennessee,United States of America,0.0,100.0
Willimantic,Maine,United States of America,100.0,50.0
Middlesex,Vermont,United States of America,83.33333333,50.0
Somerset,Vermont,United States of America,100.0,50.0
Carlisle,New York,United States of America,100.0,50.0
New Windsor,New York,United States of America,100.0,50.0
Taylor,New York,United States of America,87.5,50.0
New Paltz,New York,United States of America,100.0,50.0
Webster,New York,United States of America,0.0,50.0
Germantown,New York,United States of America,100.0,0.0
Princeton,Massachusetts,United States of America,87.5,25.0
Bath,New York,United States of America,100.0,50.0
Dickinson,New York,United States of America,100.0,50.0
Gainesville,New York,United States of America,100.0,25.0
Lafayette,Wisconsin,United States of America,93.75,12.5
Wausau,Wisconsin,United States of America,100.0,25.0
Nantucket,Massachusetts,United States of America,100.0,50.0
Arlington,Virginia,United States of America,84.61538462,19.23076923
